00	00	6.588189	10.649955
01	00	6.406137	10.463084
02	00	6.224085	10.275975
03	00	6.164102	10.194115
04	00	6.134847	10.138507
05	00	6.105382	10.083138
06	00	6.076128	10.027530
07	00	6.060343	9.978366
08	00	6.058449	9.935646
09	00	6.056344	9.892926
10	00	6.054450	9.850206
11	00	6.052556	9.807247
12	00	6.050451	9.764527
13	00	6.048557	9.721807
14	00	6.046452	9.679087
15	00	6.044558	9.636128
16	00	6.042453	9.593408
17	00	6.040559	9.550688
18	00	5.977209	9.411072
19	00	5.907124	9.260955
00	01	6.924302	11.097681
01	01	6.788131	11.018684
02	01	6.689423	10.943984
03	01	6.590925	10.869522
04	01	6.492217	10.794821
05	01	6.438549	10.748760
06	01	6.390142	10.706040
07	01	6.341524	10.663081
08	01	6.292907	10.620361
09	01	6.244289	10.577641
10	01	6.195672	10.534682
11	01	6.147265	10.491962
12	01	6.101804	10.449719
13	01	6.084757	10.413204
14	01	6.067709	10.376451
15	01	6.050661	10.339936
16	01	6.033614	10.303421
17	01	6.016356	10.266906
18	01	5.999308	10.230391
19	01	5.982260	10.193876
